"925","Newbee"
"926","Royal Never Give Up"
"927","I May"
"928","I May"
"929","LGD Gaming"
"930","LGD Gaming"
"931","EDward Gaming"
"932","EDward Gaming"
"933","Snake Esports"
"934","Snake Esports"
"935","Team WE"
"936","Invictus Gaming"
"937","Team WE"
"938","I May"
"939","I May"
"940","EDward Gaming"
"941","Oh My God"
"942","EDward Gaming"
"943","Vici Gaming"
"944","Saint Gaming"
"945","Vici Gaming"
"946","Snake Esports"
"947","Snake Esports"
"948","Team WE"
"949","Game Talents"
"950","Game Talents"
"951","I May"
"952","I May"
"953","Royal Never Give Up"
"954","Royal Never Give Up"
"955","Newbee"
"956","Newbee"
"957","LGD Gaming"
"958","LGD Gaming"
"959","Game Talents"
"960","Team WE"
"961","Game Talents"
"962","Oh My God"
"963","Invictus Gaming"
"964","Oh My God"
"965","EDward Gaming"
"966","Royal Never Give Up"
"967","EDward Gaming"
"968","LGD Gaming"
"969","LGD Gaming"
"970","Oh My God"
"971","Royal Never Give Up"
"972","Royal Never Give Up"
"973","Team WE"
"974","Team WE"
"975","EDward Gaming"
"976","EDward Gaming"
"977","Newbee"
"978","Saint Gaming"
"979","Newbee"
"980","Snake Esports"
"981","Snake Esports"
"982","Vici Gaming"
"983","Vici Gaming"
"984","Royal Never Give Up"
"985","Royal Never Give Up"
"986","EDward Gaming"
"987","Invictus Gaming"
"988","EDward Gaming"
"989","Snake Esports"
"990","Snake Esports"
"991","Team WE"
"992","LGD Gaming"
"993","Snake Esports"
"994","Team WE"
"995","Snake Esports"
"996","Invictus Gaming"
"997","Invictus Gaming"
"998","EDward Gaming"
"999","EDward Gaming"
"1000","Vici Gaming"
"1001","I May"
"1002","Vici Gaming"
"1003","Royal Never Give Up"
"1004","Royal Never Give Up"
"1005","Invictus Gaming"
"1006","Saint Gaming"
"1007","Invictus Gaming"
"1008","Game Talents"
"1009","Game Talents"
"1010","Team WE"
"1011","Team WE"
"1012","I May"
"1013","Vici Gaming"
"1014","Vici Gaming"
"1015","Team WE"
"1016","Team WE"
"1017","Royal Never Give Up"
"1018","Royal Never Give Up"
"1019","I May"
"1020","I May"
"1021","Newbee"
"1022","Invictus Gaming"
"1023","Newbee"
"1024","Game Talents"
"1025","Game Talents"
"1026","EDward Gaming"
"1027","EDward Gaming"
"1028","I May"
"1029","I May"
"1030","Royal Never Give Up"
"1031","Royal Never Give Up"
"1032","Team WE"
"1033","Game Talents"
"1034","Game Talents"
"1035","Snake Esports"
"1036","EDward Gaming"
"1037","Newbee"
"1038","EDward Gaming"
"1039","Longzhu Gaming"
"1040","Longzhu Gaming"
"1041","Jin Air Green Wings"
"1042","KT Rolster"
"1043","Kongdoo Monster"
"1044","KT Rolster"
"1045","SK Telecom T1"
"1046","SK Telecom T1"
"1047","Afreeca Freecs"
