Renegades,NA,Quinn,67
Counter Logic Gaming,NA,Tahm Kench,68
Counter Logic Gaming,NA,Poppy,68
Counter Logic Gaming,NA,Graves,68
Echo Fox,NA,Gangplank,68
Echo Fox,NA,Lissandra,68
Echo Fox,NA,Lulu,68
Team Liquid,NA,Fiora,69
Team Liquid,NA,Gangplank,69
Team Liquid,NA,Nidalee,69
NRG Esports,NA,Lulu,69
NRG Esports,NA,Corki,69
NRG Esports,NA,Graves,69
Cloud9,NA,Poppy,70
Cloud9,NA,Lulu,70
Cloud9,NA,Elise,70
Team SoloMid,NA,Gangplank,70
Team SoloMid,NA,Alistar,70
Team SoloMid,NA,Graves,70
Team Impulse,NA,Elise,71
Team Dignitas,NA,Ryze,71
Team Dignitas,NA,Gangplank,71
Team Dignitas,NA,Graves,71
Renegades,NA,Lulu,72
Renegades,NA,Lissandra,72
Renegades,NA,Lucian,72
Team Impulse,NA,Thresh,72
Team Impulse,NA,Tahm Kench,72
Team Impulse,NA,Graves,72
Echo Fox,NA,Nidalee,73
Echo Fox,NA,Graves,73
Echo Fox,NA,Lulu,73
Team Liquid,NA,Poppy,73
Team Liquid,NA,Gangplank,73
Team Liquid,NA,Ryze,73
Counter Logic Gaming,NA,Lulu,74
Counter Logic Gaming,NA,Ryze,74
Counter Logic Gaming,NA,Tahm Kench,74
Cloud9,NA,Bard,74
Cloud9,NA,Corki,74
Cloud9,NA,Lissandra,74
NRG Esports,NA,Elise,75
NRG Esports,NA,Lulu,75
NRG Esports,NA,Fiora,75
Immortals,NA,Tahm Kench,75
Immortals,NA,Graves,75
Immortals,NA,Gangplank,75
Team SoloMid,NA,Elise,76
Team SoloMid,NA,Ahri,76
Team SoloMid,NA,Tahm Kench,76
Team Dignitas,NA,Ryze,76
Team Dignitas,NA,Gangplank,76
Team Dignitas,NA,Fiora,76
Team Dignitas,NA,Kalista,77
Team Dignitas,NA,Dr. Mundo,77
Team Dignitas,NA,Ryze,77
Renegades,NA,Fiora,77
Renegades,NA,Gangplank,77
Renegades,NA,Poppy,77
Team Liquid,NA,Poppy,78
Team Liquid,NA,Lissandra,78
Team Liquid,NA,Gangplank,78
Counter Logic Gaming,NA,Graves,78
Counter Logic Gaming,NA,Tahm Kench,78
Counter Logic Gaming,NA,Lulu,78
Team SoloMid,NA,Elise,79
Team SoloMid,NA,Lulu,79
Team SoloMid,NA,Ryze,79
Immortals,NA,Tahm Kench,79
Immortals,NA,Graves,79
Immortals,NA,Gangplank,79
Team Impulse,NA,Thresh,80
Team Impulse,NA,Tahm Kench,80
Team Impulse,NA,Alistar,80
Cloud9,NA,Graves,80
Cloud9,NA,Gangplank,80
Cloud9,NA,Ryze,80
Immortals,NA,Graves,81
Immortals,NA,Poppy,81
Immortals,NA,Tahm Kench,81
Team Impulse,NA,Rek'Sai,81
Team Impulse,NA,Gangplank,81
Team Impulse,NA,Ryze,81
Echo Fox,NA,Gangplank,82
Echo Fox,NA,Nidalee,82
Echo Fox,NA,Tahm Kench,82
Cloud9,NA,Lucian,82
Cloud9,NA,Lulu,82
Cloud9,NA,Ryze,82
Team SoloMid,NA,Graves,83
Team SoloMid,NA,Lissandra,83
Team SoloMid,NA,Kalista,83
Team Liquid,NA,Ryze,83
Team Liquid,NA,Lulu,83
Team Liquid,NA,Gangplank,83
Team Dignitas,NA,Lulu,84
Team Dignitas,NA,Ryze,84
Team Dignitas,NA,Rek'Sai,84
Counter Logic Gaming,NA,Gangplank,84
Counter Logic Gaming,NA,Tahm Kench,84
Counter Logic Gaming,NA,Twisted Fate,84
Renegades,NA,Twisted Fate,85
Renegades,NA,Gangplank,85
Renegades,NA,Tahm Kench,85
NRG Esports,NA,Thresh,85
NRG Esports,NA,Alistar,85
NRG Esports,NA,Lulu,85
Echo Fox,NA,Graves,86
Echo Fox,NA,Nidalee,86
Echo Fox,NA,Gangplank,86
Team Impulse,NA,Anivia,86
Team Impulse,NA,Fiora,86
Team Impulse,NA,Ryze,86
Renegades,NA,Kindred,87
Renegades,NA,Tahm Kench,87
Renegades,NA,Gangplank,87
Team Liquid,NA,Ryze,87
Team Liquid,NA,Lulu,87
Team Liquid,NA,Thresh,87
Team Dignitas,NA,Tahm Kench,88
Team Dignitas,NA,Lulu,88
Team Dignitas,NA,Rek'Sai,88
NRG Esports,NA,Gangplank,88
NRG Esports,NA,Ryze,88
NRG Esports,NA,Elise,88
Cloud9,NA,Alistar,89
Cloud9,NA,Fiora,89
Cloud9,NA,Lissandra,89
Immortals,NA,Tahm Kench,89
Immortals,NA,Lulu,89
Immortals,NA,Gangplank,89
Team SoloMid,NA,Fiora,90
Team SoloMid,NA,Gangplank,90
Team SoloMid,NA,Olaf,90
Counter Logic Gaming,NA,Corki,90
Counter Logic Gaming,NA,Ryze,90
Counter Logic Gaming,NA,Tahm Kench,90
Echo Fox,NA,Trundle,91
Echo Fox,NA,Kog'Maw,91
Echo Fox,NA,Malzahar,91
Team EnVyUs,NA,Anivia,91
Team EnVyUs,NA,Jax,91
Team EnVyUs,NA,Fiora,91
Cloud9,NA,Vladimir,92
Cloud9,NA,Shen,92
Cloud9,NA,Malzahar,92
Team Liquid,NA,Sivir,92
Team Liquid,NA,Rek'Sai,92
Team Liquid,NA,Cassiopeia,92
Team EnVyUs,NA,Anivia,93
Team EnVyUs,NA,Fiora,93
Team EnVyUs,NA,Jax,93
Echo Fox,NA,Lissandra,93
Echo Fox,NA,Malzahar,93
Echo Fox,NA,Vladimir,93
Team Liquid,NA,Malzahar,94
Team Liquid,NA,Gangplank,94
Team Liquid,NA,Karma,94
Cloud9,NA,Vladimir,94
Cloud9,NA,Shen,94
Cloud9,NA,Irelia,94
